ADV,LAT,LON,TIME,WIND,PR,STAT
1,21.80,131.80,07/29/06Z,20,-,TROPICAL DEPRESSION
2,22.70,133.30,07/29/12Z,25,-,TROPICAL DEPRESSION
3,23.50,134.70,07/29/18Z,25,-,TROPICAL DEPRESSION
4,24.30,136.00,07/30/00Z,30,-,TROPICAL DEPRESSION
5,25.10,137.30,07/30/06Z,45,-,TROPICAL STORM
6,26.50,138.50,07/30/12Z,45,-,TROPICAL STORM
7,27.70,136.70,07/30/18Z,45,-,TROPICAL STORM
8,28.50,135.00,07/31/00Z,45,-,TROPICAL STORM
9,29.00,132.50,07/31/06Z,50,-,TROPICAL STORM
10,29.10,130.90,07/31/12Z,50,-,TROPICAL STORM
11,28.20,129.90,07/31/18Z,50,-,TROPICAL STORM
12,27.50,129.50,08/01/00Z,50,-,TROPICAL STORM
13,27.00,129.30,08/01/06Z,50,-,TROPICAL STORM
14,26.80,129.20,08/01/12Z,45,-,TROPICAL STORM
15,26.80,129.00,08/01/18Z,40,-,TROPICAL STORM
16,27.00,128.90,08/02/00Z,40,-,TROPICAL STORM
17,27.70,128.40,08/02/06Z,45,-,TROPICAL STORM
18,28.50,127.70,08/02/12Z,45,-,TROPICAL STORM
19,29.50,126.90,08/02/18Z,45,-,TROPICAL STORM
20,30.00,126.00,08/03/00Z,50,-,TROPICAL STORM
21,30.40,125.00,08/03/06Z,50,-,TROPICAL STORM
22,30.70,123.80,08/03/12Z,50,-,TROPICAL STORM
23,31.10,122.60,08/03/18Z,45,-,TROPICAL STORM
24,31.30,121.30,08/04/00Z,40,-,TROPICAL STORM
25,31.80,120.00,08/04/06Z,30,-,TROPICAL DEPRESSION
26,32.00,119.00,08/04/12Z,30,-,TROPICAL DEPRESSION
27,32.10,118.00,08/04/18Z,25,-,TROPICAL DEPRESSION
28,32.20,117.20,08/05/00Z,25,-,TROPICAL DEPRESSION
29,32.20,116.40,08/05/06Z,25,-,TROPICAL DEPRESSION
30,32.20,115.70,08/05/12Z,25,-,TROPICAL DEPRESSION
31,32.30,115.10,08/05/18Z,20,-,TROPICAL DEPRESSION
32,32.30,114.50,08/06/00Z,20,-,TROPICAL DEPRESSION
33,32.30,114.00,08/06/06Z,20,-,TROPICAL DEPRESSION
34,32.30,113.50,08/06/12Z,20,-,TROPICAL DEPRESSION
35,32.20,113.00,08/06/18Z,20,-,TROPICAL DEPRESSION
36,32.20,112.50,08/07/00Z,20,-,TROPICAL DEPRESSION
37,32.20,112.00,08/07/06Z,20,-,TROPICAL DEPRESSION
